host datastore workers random read size oio latency workload
win2 emc-5disk-sp 3 75 95 65536 1 20.477771 web_file_server3
win2 emc-5disk-sp 3 0 98 65536 1 1.735801 media_streaming
win1 netapp-7disk-sp 4 75 95 8192 1 20.391555 web_file_server2
win1 netapp-7disk-sp 4 0 0 65536 1 1.285163 sql_server_log
win1 netapp-7disk-sp 4 75 95 8192 1 20.422212 web_file_server2
win1 netapp-7disk-sp 4 0 0 65536 1 1.285404 sql_server_log
win2 emc-5disk-sp 4 0 98 65536 1 1.505267 media_streaming
win2 emc-5disk-sp 4 100 67 4096 1 10.085052 exchange_server
win2 emc-5disk-sp 4 0 98 65536 1 1.507896 media_streaming
win2 emc-5disk-sp 4 0 98 65536 1 1.508366 media_streaming
win1 netapp-7disk-sp 3 100 100 1048576 1 80.414753 decision_support_db
win1 netapp-7disk-sp 3 100 70 8192 1 9.659208 oltp_db
win1 netapp-7disk-sp 3 75 95 8192 1 10.726615 web_file_server2
win2 emc-5disk-sp 4 100 70 8192 1 9.841229 oltp_db
win2 emc-5disk-sp 4 100 100 1048576 1 45.349172 decision_support_db
win2 emc-5disk-sp 4 75 95 4096 1 11.030954 web_file_server1
win2 emc-5disk-sp 4 100 70 8192 1 10.192950 oltp_db
win1 netapp-7disk-sp 4 0 90 65536 1 1.663244 os_paging
win1 netapp-7disk-sp 4 0 0 8192 1 1.198670 web_serber_log
win1 netapp-7disk-sp 4 0 98 65536 1 1.662588 media_streaming
win1 netapp-7disk-sp 4 80 80 8192 1 11.088609 workstations
win2 emc-5disk-sp 2 100 67 4096 1 4.699250 exchange_server
win2 emc-5disk-sp 2 75 95 8192 1 5.624724 web_file_server2
win1 netapp-7disk-sp 4 0 98 65536 1 1.845689 media_streaming
win1 netapp-7disk-sp 4 0 0 8192 1 1.074173 web_serber_log
win1 netapp-7disk-sp 4 75 95 65536 1 17.459697 web_file_server3
win1 netapp-7disk-sp 4 75 95 8192 1 13.508957 web_file_server2
win2 emc-5disk-sp 3 75 95 65536 1 18.107990 web_file_server3
win2 emc-5disk-sp 3 0 0 8192 1 0.737521 web_serber_log
win2 emc-5disk-sp 3 100 100 1048576 1 39.146019 decision_support_db
win1 netapp-7disk-sp 3 75 95 4096 1 8.467088 web_file_server1
win1 netapp-7disk-sp 3 75 95 8192 1 8.884112 web_file_server2
win1 netapp-7disk-sp 3 75 95 65536 1 11.493532 web_file_server3
win2 emc-5disk-sp 2 75 95 8192 1 5.715646 web_file_server2
win2 emc-5disk-sp 2 75 95 8192 1 5.555800 web_file_server2
win1 netapp-7disk-sp 4 0 0 65536 1 2.441711 sql_server_log
win1 netapp-7disk-sp 4 75 95 65536 1 19.673447 web_file_server3
win1 netapp-7disk-sp 4 0 90 65536 1 2.441179 os_paging
win1 netapp-7disk-sp 4 0 0 65536 1 2.441188 sql_server_log
win2 emc-5disk-sp 3 100 100 1048576 1 38.224880 decision_support_db
win2 emc-5disk-sp 3 80 80 8192 1 10.923730 workstations
win2 emc-5disk-sp 3 80 80 8192 1 11.707346 workstations
win1 netapp-7disk-sp 4 0 0 65536 1 1.657264 sql_server_log
win1 netapp-7disk-sp 4 0 0 8192 1 0.985526 web_serber_log
win1 netapp-7disk-sp 4 80 80 8192 1 21.918708 workstations
win1 netapp-7disk-sp 4 75 95 4096 1 21.628542 web_file_server1
win2 emc-5disk-sp 3 75 95 4096 1 4.962114 web_file_server1
win2 emc-5disk-sp 3 0 0 8192 1 0.739344 web_serber_log
win2 emc-5disk-sp 3 75 95 8192 1 5.172227 web_file_server2
win1 netapp-7disk-sp 3 100 67 4096 1 15.705724 exchange_server
win1 netapp-7disk-sp 3 0 0 65536 1 2.638497 sql_server_log
win1 netapp-7disk-sp 3 75 95 8192 1 14.880874 web_file_server2
win2 emc-5disk-sp 3 80 80 8192 1 6.806910 workstations
win2 emc-5disk-sp 3 75 95 8192 1 6.840585 web_file_server2
win2 emc-5disk-sp 3 100 70 8192 1 6.148675 oltp_db
win1 netapp-7disk-sp 1 100 100 1048576 1 58.715556 decision_support_db
win2 emc-5disk-sp 4 0 0 65536 1 2.154934 sql_server_log
win2 emc-5disk-sp 4 100 100 1048576 1 63.204113 decision_support_db
win2 emc-5disk-sp 4 80 80 8192 1 15.408256 workstations
win2 emc-5disk-sp 4 0 90 65536 1 2.163281 os_paging
win1 netapp-7disk-sp 2 80 80 8192 1 9.906940 workstations
win1 netapp-7disk-sp 2 0 90 65536 1 1.429472 os_paging
win2 emc-5disk-sp 3 100 100 1048576 1 46.688008 decision_support_db
win2 emc-5disk-sp 3 75 95 65536 1 26.987310 web_file_server3
win2 emc-5disk-sp 3 0 90 65536 1 1.845925 os_paging
win1 netapp-7disk-sp 4 0 90 65536 1 1.770477 os_paging
win1 netapp-7disk-sp 4 75 95 65536 1 18.137861 web_file_server3
win1 netapp-7disk-sp 4 0 98 65536 1 1.770881 media_streaming
win1 netapp-7disk-sp 4 0 0 8192 1 0.858453 web_serber_log
win2 emc-5disk-sp 4 0 90 65536 1 1.664930 os_paging
win2 emc-5disk-sp 4 80 80 8192 1 10.674087 workstations
win2 emc-5disk-sp 4 75 95 65536 1 20.348492 web_file_server3
win2 emc-5disk-sp 4 75 95 4096 1 11.122535 web_file_server1
win1 netapp-7disk-sp 4 100 100 1048576 1 129.139145 decision_support_db
win1 netapp-7disk-sp 4 0 0 65536 1 2.463974 sql_server_log
win1 netapp-7disk-sp 4 0 90 65536 1 2.463832 os_paging
win1 netapp-7disk-sp 4 0 98 65536 1 2.464019 media_streaming
win2 emc-5disk-sp 2 100 67 4096 1 4.243627 exchange_server
win2 emc-5disk-sp 2 0 0 8192 1 0.724803 web_serber_log
win1 netapp-7disk-sp 4 0 0 65536 1 2.189016 sql_server_log
win1 netapp-7disk-sp 4 0 90 65536 1 2.189775 os_paging
win1 netapp-7disk-sp 4 75 95 65536 1 26.426667 web_file_server3
win1 netapp-7disk-sp 4 0 0 65536 1 2.188205 sql_server_log
win2 emc-5disk-sp 3 0 0 65536 1 1.807840 sql_server_log
win2 emc-5disk-sp 3 0 90 65536 1 1.833001 os_paging
win2 emc-5disk-sp 3 100 70 8192 1 10.651009 oltp_db
win1 netapp-7disk-sp 3 100 67 4096 1 9.529570 exchange_server
win1 netapp-7disk-sp 3 80 80 8192 1 9.940079 workstations
win1 netapp-7disk-sp 3 100 70 8192 1 9.979696 oltp_db
win2 emc-5disk-sp 3 100 67 4096 1 5.857597 exchange_server
win2 emc-5disk-sp 3 80 80 8192 1 6.922846 workstations
win2 emc-5disk-sp 3 75 95 65536 1 9.033836 web_file_server3
win1 netapp-7disk-sp 3 0 0 8192 1 1.131442 web_serber_log
win1 netapp-7disk-sp 3 75 95 65536 1 12.600361 web_file_server3
win1 netapp-7disk-sp 3 100 70 8192 1 9.658304 oltp_db
win2 emc-5disk-sp 2 0 0 8192 1 0.897179 web_serber_log
win2 emc-5disk-sp 2 100 100 1048576 1 20.125635 decision_support_db
win1 netapp-7disk-sp 4 75 95 8192 1 11.110954 web_file_server2
win1 netapp-7disk-sp 4 0 0 65536 1 3.027296 sql_server_log
win1 netapp-7disk-sp 4 100 67 4096 1 10.852723 exchange_server
win1 netapp-7disk-sp 4 0 0 65536 1 3.025738 sql_server_log
win2 emc-5disk-sp 4 75 95 65536 1 16.137420 web_file_server3
win2 emc-5disk-sp 4 0 0 65536 1 1.263532 sql_server_log
win2 emc-5disk-sp 4 75 95 8192 1 10.305111 web_file_server2
win2 emc-5disk-sp 4 75 95 65536 1 13.592476 web_file_server3
win1 netapp-7disk-sp 4 100 100 1048576 1 128.841243 decision_support_db
win1 netapp-7disk-sp 4 80 80 8192 1 14.356367 workstations
win1 netapp-7disk-sp 4 80 80 8192 1 14.065401 workstations
