datastore size read random oio latency
DRSStore2 4096 0 0 128 105.559528
DASStore 4096 0 0 128 109.114688
netapp-7disk-sp 4096 0 0 128 71.246556
emc-3disk-raid0 4096 0 0 128 84.496906
netapp-3diskata-sp 4096 0 0 128 65.027126
netapp-7diskata-dp 4096 0 0 128 77.280830
srs7diskfc_netapp 4096 0 0 128 76.120410
emc-6diskfc-sp 8192 0 0 1 0.750172
DRSStore2 8192 0 0 1 0.883787
DASStore 8192 0 0 1 0.918593
netapp-7disk-sp 8192 0 0 1 0.830722
emc-3disk-raid0 8192 0 0 1 0.749758
netapp-3diskata-sp 8192 0 0 1 0.759311
netapp-7diskata-dp 8192 0 0 1 0.710945
srs7diskfc_netapp 8192 0 0 1 0.679965
emc-6diskfc-sp 8192 0 0 2 1.334132
DRSStore2 8192 0 0 2 1.699382
DASStore 8192 0 0 2 1.767464
netapp-7disk-sp 8192 0 0 2 1.560168
emc-3disk-raid0 8192 0 0 2 1.332330
netapp-3diskata-sp 8192 0 0 2 1.428234
netapp-7diskata-dp 8192 0 0 2 1.533065
srs7diskfc_netapp 8192 0 0 2 1.539736
emc-6diskfc-sp 8192 0 0 4 2.919008
DRSStore2 8192 0 0 4 3.386475
DASStore 8192 0 0 4 3.515572
netapp-7disk-sp 8192 0 0 4 3.239493
emc-3disk-raid0 8192 0 0 4 2.916591
netapp-3diskata-sp 8192 0 0 4 2.925037
netapp-7diskata-dp 8192 0 0 4 3.266482
srs7diskfc_netapp 8192 0 0 4 3.261308
emc-6diskfc-sp 8192 0 0 8 5.882344
DRSStore2 8192 0 0 8 6.770666
DASStore 8192 0 0 8 7.085282
netapp-7disk-sp 8192 0 0 8 6.664873
emc-3disk-raid0 8192 0 0 8 5.881986
netapp-3diskata-sp 8192 0 0 8 5.979262
netapp-7diskata-dp 8192 0 0 8 6.604641
srs7diskfc_netapp 8192 0 0 8 6.412141
emc-6diskfc-sp 8192 0 0 16 11.627067
DRSStore2 8192 0 0 16 13.528414
DASStore 8192 0 0 16 14.067843
netapp-7disk-sp 8192 0 0 16 12.763219
emc-3disk-raid0 8192 0 0 16 11.627719
netapp-3diskata-sp 8192 0 0 16 11.631914
netapp-7diskata-dp 8192 0 0 16 13.136894
srs7diskfc_netapp 8192 0 0 16 12.582545
emc-6diskfc-sp 8192 0 0 32 23.844553
DRSStore2 8192 0 0 32 27.056388
DASStore 8192 0 0 32 27.874516
netapp-7disk-sp 8192 0 0 32 24.956519
emc-3disk-raid0 8192 0 0 32 23.813048
netapp-3diskata-sp 8192 0 0 32 22.736494
netapp-7diskata-dp 8192 0 0 32 25.749221
srs7diskfc_netapp 8192 0 0 32 24.640490
emc-6diskfc-sp 8192 0 0 64 43.119260
DRSStore2 8192 0 0 64 54.236683
DASStore 8192 0 0 64 57.769790
netapp-7disk-sp 8192 0 0 64 49.022756
emc-3disk-raid0 8192 0 0 64 43.095835
netapp-3diskata-sp 8192 0 0 64 41.416756
netapp-7diskata-dp 8192 0 0 64 44.677210
srs7diskfc_netapp 8192 0 0 64 44.859816
emc-6diskfc-sp 8192 0 0 128 90.723494
DRSStore2 8192 0 0 128 108.091616
DASStore 8192 0 0 128 112.128111
netapp-7disk-sp 8192 0 0 128 94.650412
emc-3disk-raid0 8192 0 0 128 90.697045
netapp-3diskata-sp 8192 0 0 128 80.951684
netapp-7diskata-dp 8192 0 0 128 84.690132
srs7diskfc_netapp 8192 0 0 128 85.492488
emc-6diskfc-sp 16384 0 0 1 0.824298
DRSStore2 16384 0 0 1 0.905928
DASStore 16384 0 0 1 0.892205
netapp-7disk-sp 16384 0 0 1 1.267496
emc-3disk-raid0 16384 0 0 1 0.823703
netapp-3diskata-sp 16384 0 0 1 1.381909
netapp-7diskata-dp 16384 0 0 1 1.120159
srs7diskfc_netapp 16384 0 0 1 1.023613
emc-6diskfc-sp 16384 0 0 2 1.476494
DRSStore2 16384 0 0 2 1.742383
DASStore 16384 0 0 2 1.819485
netapp-7disk-sp 16384 0 0 2 2.234845
emc-3disk-raid0 16384 0 0 2 1.475543
netapp-3diskata-sp 16384 0 0 2 2.824790
netapp-7diskata-dp 16384 0 0 2 2.394707
srs7diskfc_netapp 16384 0 0 2 2.069183
emc-6diskfc-sp 16384 0 0 4 3.048783
DRSStore2 16384 0 0 4 3.469025
DASStore 16384 0 0 4 3.486023
netapp-7disk-sp 16384 0 0 4 5.416658
emc-3disk-raid0 16384 0 0 4 3.051072
netapp-3diskata-sp 16384 0 0 4 5.235715
netapp-7diskata-dp 16384 0 0 4 5.385070
srs7diskfc_netapp 16384 0 0 4 5.312483
emc-6diskfc-sp 16384 0 0 8 6.206418
DRSStore2 16384 0 0 8 6.951508
DASStore 16384 0 0 8 7.125139
netapp-7disk-sp 16384 0 0 8 8.954433
emc-3disk-raid0 16384 0 0 8 6.201671
netapp-3diskata-sp 16384 0 0 8 12.488394
netapp-7diskata-dp 16384 0 0 8 9.086186
srs7diskfc_netapp 16384 0 0 8 8.591322
emc-6diskfc-sp 16384 0 0 16 12.561730
DRSStore2 16384 0 0 16 13.983283
DASStore 16384 0 0 16 14.444224
netapp-7disk-sp 16384 0 0 16 18.899307
emc-3disk-raid0 16384 0 0 16 12.549881
netapp-3diskata-sp 16384 0 0 16 23.143362
netapp-7diskata-dp 16384 0 0 16 22.062248
srs7diskfc_netapp 16384 0 0 16 17.964922
emc-6diskfc-sp 16384 0 0 32 24.520033
DRSStore2 16384 0 0 32 28.060014
DASStore 16384 0 0 32 28.865375
netapp-7disk-sp 16384 0 0 32 41.445836
emc-3disk-raid0 16384 0 0 32 24.499568
netapp-3diskata-sp 16384 0 0 32 42.327199
netapp-7diskata-dp 16384 0 0 32 41.514587
srs7diskfc_netapp 16384 0 0 32 40.832370
emc-6diskfc-sp 16384 0 0 64 45.976439
DRSStore2 16384 0 0 64 55.768000
DASStore 16384 0 0 64 57.781944
netapp-7disk-sp 16384 0 0 64 71.164869
emc-3disk-raid0 16384 0 0 64 45.931914
netapp-3diskata-sp 16384 0 0 64 105.688629
netapp-7diskata-dp 16384 0 0 64 70.881987
srs7diskfc_netapp 16384 0 0 64 68.762279
emc-6diskfc-sp 16384 0 0 128 97.528778
DRSStore2 16384 0 0 128 112.065960
DASStore 16384 0 0 128 115.081532
netapp-7disk-sp 16384 0 0 128 182.777944
emc-3disk-raid0 16384 0 0 128 97.576344
netapp-3diskata-sp 16384 0 0 128 194.798674
netapp-7diskata-dp 16384 0 0 128 210.805446
srs7diskfc_netapp 16384 0 0 128 178.189574
emc-6diskfc-sp 32768 0 0 1 0.866688
DRSStore2 32768 0 0 1 1.054284
DASStore 32768 0 0 1 1.058783
netapp-7disk-sp 32768 0 0 1 2.804450
emc-3disk-raid0 32768 0 0 1 0.872216
netapp-3diskata-sp 32768 0 0 1 2.853982
